date,lon,lat,ntl,vza
2024/1/1,110.33125,20.07708333,26.0419178,4348
2024/1/1,110.3354167,20.07708333,23.94260025,4344
2024/1/1,110.3395833,20.07708333,23.87859154,4344
2024/1/1,110.34375,20.07708333,21.30986404,4341
2024/1/1,110.3479167,20.07708333,27.1186142,4337
2024/1/1,110.3520833,20.07708333,16.41247559,4337
2024/1/1,110.35625,20.07708333,17.8477993,4333
2024/1/1,110.3604167,20.07708333,18.08742905,4333
2024/1/1,110.31875,20.07291667,38.13143921,4352
2024/1/1,110.3229167,20.07291667,37.94397354,4352
2024/1/1,110.3270833,20.07291667,38.8025589,4348
2024/1/1,110.33125,20.07291667,25.22794914,4348
2024/1/1,110.3354167,20.07291667,23.14782906,4344
2024/1/1,110.3395833,20.07291667,20.35186768,4341
2024/1/1,110.34375,20.07291667,20.917593,4341
2024/1/1,110.3479167,20.07291667,27.06157684,4337
2024/1/1,110.3520833,20.07291667,27.86505699,4337
2024/1/1,110.35625,20.07291667,25.31576347,4333
2024/1/1,110.3604167,20.07291667,25.50656509,4333
2024/1/1,110.3645833,20.07291667,31.89631653,4330
2024/1/1,110.36875,20.07291667,31.9079628,4330
2024/1/1,110.3104167,20.06875,41.95576859,4355
2024/1/1,110.3145833,20.06875,41.97253799,4355
2024/1/1,110.31875,20.06875,38.2763176,4352
2024/1/1,110.3229167,20.06875,38.24571991,4352
2024/1/1,110.3270833,20.06875,39.11695862,4348
2024/1/1,110.33125,20.06875,38.00783539,4348
2024/1/1,110.3354167,20.06875,34.80608368,4344
2024/1/1,110.3395833,20.06875,39.81812286,4341
2024/1/1,110.34375,20.06875,41.9552269,4341
2024/1/1,110.3479167,20.06875,38.78012848,4337
2024/1/1,110.3520833,20.06875,40.02574539,4337
2024/1/1,110.35625,20.06875,39.78234482,4333
2024/1/1,110.3604167,20.06875,39.6531868,4333
2024/1/1,110.3645833,20.06875,31.66857147,4330
2024/1/1,110.3104167,20.06458333,58.57075119,4355
2024/1/1,110.3145833,20.06458333,60.42181778,4355
2024/1/1,110.31875,20.06458333,45.82401276,4352
2024/1/1,110.3229167,20.06458333,43.395401,4352
2024/1/1,110.3270833,20.06458333,43.30228043,4348
2024/1/1,110.33125,20.06458333,60.6380043,4344
2024/1/1,110.3354167,20.06458333,60.53769302,4344
2024/1/1,110.3395833,20.06458333,40.68545914,4341
2024/1/1,110.34375,20.06458333,40.99304199,4341
2024/1/1,110.3479167,20.06458333,38.91202164,4337
2024/1/1,110.3520833,20.06458333,40.05721664,4337
2024/1/1,110.35625,20.06458333,39.70890808,4333
2024/1/1,110.3604167,20.06458333,39.79771423,4333
2024/1/1,110.3645833,20.06458333,44.69936752,4330
2024/1/1,110.36875,20.06458333,9.696202278,4326
2024/1/1,110.1895833,20.06041667,35.25701523,4413
2024/1/1,110.19375,20.06041667,36.20310974,4413
2024/1/1,110.1979167,20.06041667,37.64536285,4410
2024/1/1,110.3104167,20.06041667,40.31610107,4355
2024/1/1,110.3145833,20.06041667,40.40827179,4355
2024/1/1,110.31875,20.06041667,44.51461411,4352
2024/1/1,110.3229167,20.06041667,42.04285431,4348
2024/1/1,110.3270833,20.06041667,43.30363083,4348
2024/1/1,110.33125,20.06041667,61.02593613,4344
2024/1/1,110.3354167,20.06041667,60.29891586,4344
2024/1/1,110.3395833,20.06041667,42.9892807,4341
2024/1/1,110.34375,20.06041667,42.85521698,4341
2024/1/1,110.3479167,20.06041667,29.68226051,4337
2024/1/1,110.3520833,20.06041667,29.85189819,4337
2024/1/1,110.35625,20.06041667,21.87212372,4333
2024/1/1,110.3604167,20.06041667,16.73923302,4330
2024/1/1,110.3645833,20.06041667,16.84280586,4330
2024/1/1,110.4104167,20.06041667,28.31692696,4308
2024/1/1,110.1895833,20.05625,33.91222763,4413
2024/1/1,110.19375,20.05625,34.23346329,4413
2024/1/1,110.1979167,20.05625,37.72829437,4410
2024/1/1,110.2020833,20.05625,20.71552467,4407
2024/1/1,110.31875,20.05625,37.37481308,4352
2024/1/1,110.3229167,20.05625,32.83823013,4348
2024/1/1,110.3270833,20.05625,31.88718605,4348
2024/1/1,110.33125,20.05625,51.51135254,4344
2024/1/1,110.3354167,20.05625,51.200737,4344
2024/1/1,110.3395833,20.05625,63.36776352,4341
2024/1/1,110.34375,20.05625,63.50246048,4341
2024/1/1,110.3479167,20.05625,58.7420578,4337
2024/1/1,110.3520833,20.05625,29.45341873,4337
2024/1/1,110.35625,20.05625,21.87558174,4333
2024/1/1,110.3604167,20.05625,16.7238369,4330
2024/1/1,110.3645833,20.05625,16.64888573,4330
2024/1/1,110.40625,20.05625,24.24349785,4308
2024/1/1,110.4104167,20.05625,29.11833,4308
2024/1/1,110.1979167,20.05208333,44.51343155,4410
2024/1/1,110.2020833,20.05208333,28.78479004,4407
2024/1/1,110.3270833,20.05208333,32.50311279,4348
2024/1/1,110.33125,20.05208333,51.28832626,4344
2024/1/1,110.3354167,20.05208333,51.39578629,4344
2024/1/1,110.3395833,20.05208333,63.54103851,4341
2024/1/1,110.34375,20.05208333,65.2379303,4341
2024/1/1,110.3479167,20.05208333,58.2900238,4337
2024/1/1,110.3520833,20.05208333,50.99856567,4333
2024/1/1,110.35625,20.05208333,52.62965012,4333
2024/1/1,110.3604167,20.05208333,18.891325,4330
2024/1/1,110.3645833,20.05208333,18.99829674,4330
2024/1/1,110.36875,20.05208333,7.465991497,4326
2024/1/1,110.4104167,20.05208333,24.09007835,4308
2024/1/1,110.4145833,20.05208333,10.14189529,4304
